Text-ID	Sentence-ID	Text
BG_005	1	Сдружение 'Балканка':
BG_005	2	98% от ВЕЦ-овете в страната нарушават законите
BG_005	3	98% от ВЕЦ-овете в страната нарушават законите на страната и ЕС, 68% са с тежки нарушения, 76% от всички ВЕЦ-ове са в НАТУРА 2000.
BG_005	4	След 2000 г. са построени около 170 нови ВЕЦ-а, като вече има около 260 работещи.
BG_005	5	Това обявиха от сдружение „Балканка“ на брифинг по повод ситуацията с водоизточните и ВЕЦ-овете в страната.
BG_005	6	„Доброто състояние на реките е изключително важно и за самите питейни източници, като водата в реката и водата в подпочвените води са хидравлично свързани, и ако една река бъде замърсена, то това неминуемо замърсява и подземните води, откъдето се черпи вода“, заяви Димитър Куманов от сдружението.
BG_005	7	Той даде пример с р.
BG_005	8	Струма в Перник.
BG_005	9	През 2019 г. имаше над 10 случая, в които реката течеше във различни цветове на дъгата.
BG_005	10	"По-повод яз. ""Студена"" той добави, че през 2018 г. в язовира има 10 млн. кубика вода, през юни 2018 г. има 18 млн. кубика, което означава, че през 2018 г. снеготопенето е довело до пълнене с 8 млн. кубика."
BG_005	11	През януари 2019 г. в язовира има 10 млн. кубика, колкото и през юни същата година, т.е. 8 млн. кубика някъде са изчезнали.
BG_005	12	Куманов добави, че е очевадно, че много предприятия използват момента да си прочистват всички отрови, които са трупали, и допълни, че за тази цел е нужна много вода.
BG_005	13	Той подчерта, че за тези незаконни практики са викани РИОСВ-Перник и Басейнова дирекция-Благоевград, но следва отговор, че всичко е нормално.
BG_005	14	"„Всичко това върви към язовир ""Пчелина"" цяла година“, категоричен е Димитър Куманов."
BG_005	15	Той припомни, че от 2016 г. към яз.
BG_005	16	"""Пчелина"" е закачен чисто нов ВЕЦ."
BG_005	17	"„Този ВЕЦ в момента е собственост на една фирма ""Пауър Туенти Туенти"" ООД, като главното участие има бивш заместник-министър на околната среда и водите."
BG_005	18	Крайният резултат от работата на този ВЕЦ е, че в реката под язовира изпуска вода, която мирише на сероводород“, обясни той.
BG_005	19	"""Кметът на община Ковачевци, който е издал разрешителното на този ВЕЦ, каза, че така е текла реката, откакто свят съществува."
BG_005	20	"Преди да се направи ВЕЦ-а в реката се е ловяло много риба"", добави той."
BG_005	21	„Тази река беше отровена с изричното разрешение на МОСВ, тъй като РИОСВ Перник преценява, че за новият ВЕЦ не е необходима оценка за въздействието и оценка на съвместимост“, допълни Куманов.
BG_005	22	"Той коментира и ситуацията около ""Стомана"", ТЕЦ ""Република"" и другите промишлени предприятия, които ползват от водата на яз."
BG_005	23	"""Пчелина""."
BG_005	24	"""Пчелина"" е направен точно с цел да захранва предприятията в Перник и Радомир."
BG_005	25	Но се оказва някой е откраднал помпите и тръбите.
BG_005	26	Само заради харченето на ток тази вода ще е по-скъпа, отколкото, ако си я взимат от яз.
BG_005	27	"""Студена""."""
BG_005	28	Куманов добави, че водните ресурси и хората в България са жертва на престъпно управление.
BG_005	29	От сдружението припомниха, че мините в Босилеград замърсяват река Драговищица, която се влива в река Струма.
BG_005	30	„Там имаше незаконно копане за добив на злато - там разораха около село Копиловци - мяза на лунен пейзаж, заяви Куманов.
BG_005	31	Държавата ни е дала разрешение за добив на злато за около 200 кв. км край сливането на двете реки“, добави той.
BG_005	32	Притеснението на сдружението е, че на тези места има арсен и живак, което може да доведе до много проблеми, ако те излязат на повърхността.
BG_005	33	"В язовир ""Тракиец"" има манган, който може да бъде пречистен."
BG_005	34	"На язовирите ""Бебреш"", ""Тракиец"", ""Домлян"", ""Пчелина"", ""Ястребино"" е дадено разрешение на ""Напоителни системи"" да се правят ВЕЦ-ове."
BG_005	35	Според Куманов, след като се направят ВЕЦ-ове, тези язовири не могат да се ползва за нищо друго.
BG_005	36	Ефектите от ВЕЦ-овете са отрицателни, река не бива да бъде преграждана, заяви той.
BG_005	37	"""БСП ще правят вот на недоверие, а те имат доста ВЕЦ-ове"", добави Иван Пандъков, председател на Сдружение ""Балканка""."
BG_005	38	"""И по директивата за птици, и по директивата за хабитати има нарушения."
BG_005	39	Река Вит пресъхва, оголиха подземното тяло, имат забрана за разкриване на подземните води на повърхността.
BG_005	40	"Естествената речна баластра беше филтър, замърсяването не можеше да влезе в подземните води"", обясни той."
BG_005	41	От сдружението призоваха за оставките на Петър Димитров, директор на БДДР; Цветелина Кънчева, директор на БДИБР; Ваня Събчева, областен управител на Ловеч; Иван Несторов, директор на ДНСК; Пламен Ангелов, директор на РИОСВ Перник, както и на новият министър на МОСВ Емил Димитров-Ревизоро.
BG_005	42	Сдружението е създадено през 2011 г. от група риболовци, като от години изследват проблемите на реките и поставят въпросите за управлението на водните ресурси пред институциите.
BG_005	43	Екосдружението е установило редица нередности, водещи до силно влошаване на условията в реките у нас и невъзможност за постигане на поетите от страната ни ангажименти като страна членка на ЕО по отношение целите на Рамковата директива за водите.
BG_006	1	Премиерът Борисов обяви важни решения за бизнеса
BG_006	2	""""
BG_006	3	Днес удължаваме мярката 60/40 до края на март, а в следващите седмици ще гарантираме прилагането й до септември 2021 г.
BG_006	4	Продължаваме подкрепата за туризма и транспорта с мярката 80/20, а от първи януари въвеждаме помощта от 75/0 за затворените бизнеси“.
BG_006	5	Това заяви министър-председателят Бойко Борисов по време на днешното заседание на Министерския съвет, което се проведе чрез видеоконферентна връзка.
BG_006	6	Премиерът Борисов бе категоричен, че правителството ще продължи да оказва подкрепа на българските граждани, засегнатите от пандемията, както и на най-уязвимите групи от населението.
BG_006	7	По отношение на мярката 60/40 министър-председателят Борисов изтъкна, че държавата заделя огромен финансов ресурс за приложението й.
BG_006	8	Днес разпределяме 300 милиона лева от бюджета за 2021 г. за удължаване на мярката 60/40 до март, с което ще запазим 180 000 работни места.
BG_006	9	А с още 300 милиона лева гарантираме приложението на подкрепата до септември“, подчерта премиерът Борисов.
BG_006	10	До момента по мярката са изплатени над 627 млн. лв. и са запазени 250 000 работни места.
BG_006	11	Правителството реши също да удължи до 31 март 2021 г. срокът за изплащане на компенсации с цел запазване на заетостта в размер на 290 лв. месечно на работниците, служителите и самоосигуряващите се лица от секторите Транспорт“, Хотелиерство и ресторантьорство“ и Туризъм“.
BG_006	12	Допустимите кандидати по мярката са работодатели от секторите пътнически и градски транспорт, пътнически сухопътен транспорт, хотелиерство, ресторантьорство.
BG_006	13	Право на подпомагане по тази линия имат и самоосигуряващи се лица с дейност в същите сектори, както и упражняващи свободна професия, и еднолични търговци“, заяви министърът на труда и социалната политика Деница Сачева.
BG_006	14	До този момент по мярката са разплатени 43 милиона лева и са запазени около 30 000 работни места.
BG_006	15	За удължаването й до края на март са осигурени още 40 милиона лева, които ще бъдат отпуснати от Оперативна програма Развитие на човешките ресурси“.
BG_006	16	Това означава, че общо ще бъдат дадени 83 милиона лева“, подчерта министър-председателят.
BG_006	17	Премиерът Борисов акцентира също върху важността на мярката 75/0 за затворените бизнеси.
BG_006	18	Работниците от затворените от 1 до 31 януари бизнеси ще получават компенсации в размер на 75% от осигурителния си доход.
BG_006	19	Това е повече от досегашните 24 лв., които даваме и е за наетите на 8-часов работен ден.
BG_006	20	На практика мярката означава, че работодателите не дължат нищо, а работниците им получават 75% от дохода си“, посочи министър-председателят Бойко Борисов.
BG_006	21	Дотук кандидатствалите по мярката са над 5000 работодатели за 23 000 работници, което струва на държавата 11 млн. лв.
BG_014	1	ПП с активно мероприятие срещу Гешев в парламента
BG_014	2	От трибуната я изчете председателят на парламентарната група на ПП Андрей Гюров.
BG_014	3	Текстът е пряка атака срещу действията на главния прокурор Гешев, но беше предизвестен.
